"id","cap-Shape","cap-Surface","cap-Color","bruises?","odor","gill-Attachment","gill-Spacing","gill-Size","gill-Color","stalk-Shape","stalk-Root","stalk-Surface-Above-Ring","stalk-Surface-Below-Ring","stalk-Color-Above-Ring","stalk-Color-Below-Ring","veil-Type","veil-Color","ring-Number","ring-Type","spore-Print-Color","population","habitat","edibility"
56,"bell","scaly","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows","edible"
57,"flat","fibrous","gray","False","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses","edible"
58,"bell","smooth","white","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses","edible"
59,"convex","smooth","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses","edible"
60,"convex","scaly","brown","True","almond","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","paths","edible"
61,"sunken","fibrous","gray","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban","edible"
62,"bell","scaly","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows","edible"
63,"bell","smooth","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows","edible"
64,"bell","scaly","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows","edible"
65,"bell","scaly","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
66,"flat","smooth","brown","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses","edible"
67,"convex","smooth","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses","edible"
68,"flat","scaly","yellow","True","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
69,"convex","scaly","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses","edible"
70,"convex","fibrous","gray","False","none","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban","edible"
71,"flat","fibrous","yellow","True","anise","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods","edible"
72,"bell","scaly","white","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows","edible"
73,"flat","fibrous","yellow","True","anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods","edible"
74,"convex","scaly","brown","True","almond","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","paths","edible"
75,"bell","smooth","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses","edible"
76,"flat","smooth","yellow","True","anise","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods","edible"
77,"convex","smooth","white","True","anise","free","crowded","narrow","brown","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","purple","several","woods","edible"
78,"flat","scaly","brown","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","solitary","paths","edible"
79,"convex","scaly","brown","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban","poisonous"
80,"flat","scaly","brown","True","almond","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","solitary","grasses","edible"
81,"convex","smooth","brown","False","none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses","edible"
82,"convex","scaly","white","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses","poisonous"
83,"flat","fibrous","gray","False","none","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban","edible"
84,"convex","fibrous","gray","False","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses","edible"
85,"convex","scaly","yellow","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","grasses","edible"
86,"convex","smooth","brown","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses","edible"
87,"bell","smooth","white","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses","edible"
88,"convex","smooth","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
89,"flat","scaly","brown","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","grasses","edible"
90,"sunken","fibrous","brown","False","none","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban","edible"
91,"convex","fibrous","brown","False","none","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban","edible"
92,"bell","smooth","white","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses","edible"
93,"convex","scaly","yellow","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses","edible"
94,"convex","scaly","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows","edible"
95,"convex","smooth","brown","False","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses","edible"
96,"convex","smooth","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
97,"flat","scaly","brown","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
98,"convex","smooth","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses","edible"
99,"bell","smooth","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
100,"convex","scaly","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses","edible"
101,"convex","fibrous","brown","False","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses","edible"
102,"bell","smooth","yellow","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses","edible"
103,"flat","scaly","yellow","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
104,"convex","scaly","yellow","True","almond","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","paths","edible"
105,"bell","scaly","white","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses","edible"
106,"convex","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows","edible"
107,"convex","scaly","yellow","True","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","solitary","grasses","edible"
108,"bell","scaly","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows","edible"
109,"bell","scaly","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows","edible"
110,"convex","smooth","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows","edible"
111,"convex","smooth","yellow","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses","edible"
112,"sunken","fibrous","gray","False","none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","urban","edible"
113,"convex","fibrous","white","True","almond","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","purple","several","woods","edible"
114,"convex","smooth","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows","edible"
115,"convex","scaly","white","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban","poisonous"
116,"convex","scaly","yellow","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
117,"sunken","fibrous","gray","False","none","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban","edible"
118,"convex","scaly","yellow","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","grasses","edible"
119,"convex","smooth","yellow","True","anise","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","purple","several","woods","edible"
120,"sunken","fibrous","brown","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban","edible"
121,"convex","smooth","white","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","grasses","poisonous"
122,"convex","scaly","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows","edible"
123,"flat","scaly","brown","True","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","grasses","poisonous"
124,"flat","smooth","gray","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses","edible"
125,"convex","smooth","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows","edible"
126,"convex","smooth","white","False","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","scattered","grasses","edible"
127,"bell","smooth","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses","edible"
128,"flat","fibrous","gray","False","none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses","edible"
129,"convex","smooth","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses","edible"
130,"bell","smooth","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows","edible"
131,"bell","smooth","white","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
132,"bell","scaly","white","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows","edible"
133,"flat","smooth","white","True","anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","purple","several","woods","edible"
134,"convex","scaly","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows","edible"
135,"flat","smooth","white","True","almond","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods","edible"
136,"convex","scaly","white","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban","poisonous"
137,"flat","fibrous","white","True","anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods","edible"
138,"convex","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
139,"convex","smooth","brown","True","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","grasses","poisonous"
140,"bell","smooth","yellow","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses","edible"
141,"convex","scaly","brown","True","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","paths","edible"
142,"bell","scaly","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows","edible"
143,"sunken","fibrous","brown","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban","edible"
144,"flat","scaly","brown","True","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","paths","edible"
145,"convex","scaly","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses","edible"
146,"convex","fibrous","gray","False","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","black","scattered","grasses","edible"
147,"flat","fibrous","white","False","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses","edible"
148,"convex","scaly","yellow","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows","edible"
149,"bell","smooth","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses","edible"
150,"bell","scaly","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows","edible"
151,"convex","scaly","white","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
152,"convex","smooth","brown","False","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses","edible"
153,"convex","scaly","white","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
154,"sunken","fibrous","brown","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","urban","edible"
155,"convex","smooth","white","True","almond","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","purple","several","woods","edible"
156,"convex","scaly","brown","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","grasses","edible"
157,"bell","scaly","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses","edible"
158,"convex","scaly","white","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses","edible"
159,"bell","scaly","white","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows","edible"
160,"bell","smooth","yellow","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses","edible"
161,"bell","smooth","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows","edible"
162,"bell","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses","edible"
163,"convex","fibrous","brown","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban","edible"
164,"flat","scaly","brown","True","anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","solitary","grasses","edible"
165,"convex","scaly","white","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
166,"flat","scaly","yellow","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","solitary","paths","edible"
167,"bell","smooth","white","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
168,"bell","smooth","white","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows","edible"
169,"convex","scaly","brown","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","grasses","edible"
170,"bell","smooth","white","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses","edible"
171,"convex","fibrous","gray","False","none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban","edible"
172,"bell","smooth","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
173,"convex","fibrous","yellow","True","anise","free","crowded","narrow","brown","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","purple","several","woods","edible"
174,"bell","scaly","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses","edible"
175,"flat","scaly","yellow","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
176,"bell","scaly","white","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows","edible"
177,"bell","scaly","white","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows","edible"
178,"bell","scaly","yellow","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
179,"convex","scaly","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows","edible"
180,"bell","smooth","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses","edible"
181,"convex","scaly","white","True","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban","poisonous"
182,"sunken","fibrous","brown","False","none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban","edible"
183,"flat","fibrous","brown","False","none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","urban","edible"
184,"convex","smooth","yellow","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows","edible"
185,"flat","scaly","brown","True","almond","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","paths","edible"
186,"convex","scaly","white","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses","poisonous"
